description	geneID
116kDa U5 small nuclear ribonucleoprotein component, N-terminal	maker-scaffold_1-snap-gene-5.113
14-3-3 domain	augustus_masked-scaffold_395-processed-gene-0.19
14-3-3 domain	augustus_masked-scaffold_395-processed-gene-0.19
18S rRNA (guanine(1575)-N(7))-methyltransferase Bud23-like	augustus_masked-scaffold_52-processed-gene-0.47
2-isopropylmalate synthase LeuA, allosteric (dimerisation) domain	augustus_masked-scaffold_24-processed-gene-1.139
2-isopropylmalate synthase LeuA, allosteric (dimerisation) domain	augustus_masked-scaffold_24-processed-gene-1.139
2-oxoacid dehydrogenase acyltransferase, catalytic domain	maker-scaffold_205-augustus-gene-0.165
2-oxoacid dehydrogenase acyltransferase, catalytic domain	augustus_masked-scaffold_102-processed-gene-0.5
2-oxoacid dehydrogenase acyltransferase, catalytic domain	snap_masked-scaffold_73-processed-gene-1.174
2-oxoacid dehydrogenase acyltransferase, catalytic domain	snap_masked-scaffold_199-processed-gene-0.164
2-oxoacid dehydrogenase acyltransferase, catalytic domain	maker-scaffold_132-snap-gene-0.191
2-oxoacid dehydrogenase acyltransferase, catalytic domain	maker-scaffold_132-snap-gene-0.191
2-oxoacid dehydrogenase acyltransferase, catalytic domain	maker-scaffold_11-augustus-gene-1.22
2-oxoglutarate dehydrogenase E1 component, N-terminal domain	maker-scaffold_142-snap-gene-0.82
2,3-bisphosphoglycerate-independent phosphoglycerate mutase	maker-scaffold_24-augustus-gene-2.55
2,3-bisphosphoglycerate-independent phosphoglycerate mutase	maker-scaffold_24-augustus-gene-2.55
2',3'-cyclic-nucleotide 3'-phosphodiesterase	snap_masked-scaffold_55-processed-gene-0.87
25S rRNA (adenine(2142)-N(1))-methyltransferase, Bmt2	augustus_masked-scaffold_31-processed-gene-1.76
26S proteasome complex ubiquitin receptor, subunit Rpn13	augustus_masked-scaffold_357-processed-gene-0.20
26S proteasome non-ATPase regulatory subunit 5	snap_masked-scaffold_59-processed-gene-1.200
26S proteasome non-ATPase regulatory subunit 5	maker-scaffold_59-snap-gene-1.358
26S proteasome regulatory subunit Rpn7/COP9 signalosome complex subunit 1	maker-scaffold_290-snap-gene-0.150
26S proteasome regulatory subunit Rpn7/COP9 signalosome complex subunit 1	maker-scaffold_290-snap-gene-0.151
26S proteasome regulatory subunit Rpn7/COP9 signalosome complex subunit 1	maker-scaffold_275-augustus-gene-0.20
26S proteasome regulatory subunit, C-terminal	maker-scaffold_121-snap-gene-0.164
2Fe-2S ferredoxin-type iron-sulfur binding domain	augustus_masked-scaffold_117-processed-gene-0.218
2Fe-2S ferredoxin-type iron-sulfur binding domain	maker-scaffold_32-augustus-gene-1.326
2Fe-2S ferredoxin-type iron-sulfur binding domain	maker-scaffold_1-augustus-gene-3.7
3-dehydroquinate dehydratase type I	maker-scaffold_148-augustus-gene-0.317
3-dehydroquinate synthase domain	maker-scaffold_148-augustus-gene-0.317
3-hydroxyacyl-CoA dehydrogenase, C-terminal	augustus_masked-scaffold_203-processed-gene-0.190
3-hydroxyacyl-CoA dehydrogenase, C-terminal	augustus_masked-scaffold_203-processed-gene-0.190
3-hydroxyacyl-CoA dehydrogenase, C-terminal	augustus_masked-scaffold_164-processed-gene-0.223
3-hydroxyacyl-CoA dehydrogenase, NAD binding	augustus_masked-scaffold_203-processed-gene-0.190
3-hydroxyacyl-CoA dehydrogenase, NAD binding	augustus_masked-scaffold_164-processed-gene-0.223
3-hydroxyacyl-CoA dehydrogenase, NAD binding	maker-scaffold_59-snap-gene-0.57
3-hydroxyisobutyrate dehydrogenase, NAD-binding domain	maker-scaffold_39-snap-gene-0.9
3-hydroxyisobutyrate dehydrogenase, NAD-binding domain	maker-scaffold_123-augustus-gene-0.463
3-hydroxyisobutyrate dehydrogenase, NAD-binding domain	maker-scaffold_123-augustus-gene-0.463
3-hydroxyisobutyrate dehydrogenase, NAD-binding domain	maker-scaffold_18-snap-gene-1.50
3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal	maker-scaffold_68-snap-gene-1.176
3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal	augustus_masked-scaffold_126-processed-gene-0.93
3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal	snap_masked-scaffold_92-processed-gene-0.26
3,4-dihydroxy-2-butanone 4-phosphate synthase, RibB	maker-scaffold_27-snap-gene-2.206
3,4-dihydroxy-2-butanone 4-phosphate synthase, RibB	maker-scaffold_27-snap-gene-2.206
3'-5' exonuclease domain	maker-scaffold_192-snap-gene-0.80
3'-5' exonuclease domain	maker-scaffold_48-snap-gene-1.75
3'-5' exonuclease domain	maker-scaffold_192-snap-gene-0.177
3'-5' exonuclease domain	maker-scaffold_192-snap-gene-0.177
3'-5' exonuclease domain	augustus_masked-scaffold_5-processed-gene-1.49
3'-5' exonuclease domain	augustus_masked-scaffold_5-processed-gene-1.49
3'-5' exonuclease domain	maker-scaffold_297-augustus-gene-0.11
3'-5' exonuclease domain	maker-scaffold_123-augustus-gene-0.356
3'-5' exonuclease domain	maker-scaffold_123-augustus-gene-0.356
3'-5' exonuclease domain	maker-scaffold_115-snap-gene-0.102
3'-5' exonuclease domain	maker-scaffold_115-snap-gene-0.102
3'-5' exonuclease domain	maker-scaffold_140-augustus-gene-0.47
3'-5' exonuclease domain	maker-scaffold_140-augustus-gene-0.47
3'-5' exonuclease domain	maker-scaffold_242-snap-gene-0.69
3'5'-cyclic nucleotide phosphodiesterase, catalytic domain	maker-scaffold_39-snap-gene-1.256
3'5'-cyclic nucleotide phosphodiesterase, catalytic domain	maker-scaffold_11-snap-gene-2.262
3'5'-cyclic nucleotide phosphodiesterase, catalytic domain	augustus_masked-scaffold_41-processed-gene-1.258
3'5'-cyclic nucleotide phosphodiesterase, catalytic domain	maker-scaffold_73-augustus-gene-1.248
3'5'-cyclic nucleotide phosphodiesterase, catalytic domain	maker-scaffold_65-snap-gene-0.138
3'5'-cyclic nucleotide phosphodiesterase, catalytic domain	augustus_masked-scaffold_332-processed-gene-0.54
3'5'-cyclic nucleotide phosphodiesterase, catalytic domain	maker-scaffold_11-snap-gene-2.257
3'5'-cyclic nucleotide phosphodiesterase, catalytic domain	maker-scaffold_336-augustus-gene-0.171
3'5'-cyclic nucleotide phosphodiesterase, catalytic domain	maker-scaffold_55-snap-gene-1.10
3'5'-cyclic nucleotide phosphodiesterase, catalytic domain	augustus_masked-scaffold_129-processed-gene-0.170
3'5'-cyclic nucleotide phosphodiesterase, catalytic domain	maker-scaffold_16-augustus-gene-0.20
3'5'-cyclic nucleotide phosphodiesterase, catalytic domain	maker-scaffold_186-snap-gene-0.51
4'-phosphopantetheinyl transferase domain	maker-scaffold_1-snap-gene-1.57
4'-phosphopantetheinyl transferase domain	augustus_masked-scaffold_477-processed-gene-0.10
4'-phosphopantetheinyl transferase domain	augustus_masked-scaffold_63-processed-gene-1.180
40S ribosomal protein S11, N-terminal	maker-scaffold_199-augustus-gene-0.63
40S ribosomal protein S4, C-terminal domain	maker-scaffold_134-augustus-gene-0.4
4Fe-4S ferredoxin-type, iron-sulphur binding domain	augustus_masked-scaffold_75-processed-gene-0.96
4Fe-4S ferredoxin-type, iron-sulphur binding domain	maker-scaffold_250-augustus-gene-0.110
5-formyltetrahydrofolate cyclo-ligase	maker-scaffold_188-snap-gene-0.116
5-formyltetrahydrofolate cyclo-ligase	snap_masked-scaffold_188-processed-gene-0.38
5'-3' exonuclease, alpha-helical arch, N-terminal	augustus_masked-scaffold_283-processed-gene-0.58
5'-3' exonuclease, N-terminal	augustus_masked-scaffold_283-processed-gene-0.58
5'-Nucleotidase, C-terminal	maker-scaffold_82-augustus-gene-0.259
5'-Nucleotidase, C-terminal	maker-scaffold_110-augustus-gene-0.269
5'-Nucleotidase, C-terminal	snap_masked-scaffold_61-processed-gene-1.35
5'(3')-deoxyribonucleotidase	maker-scaffold_91-augustus-gene-0.274
6-phosphofructo-2-kinase	maker-scaffold_14-augustus-gene-0.38
6-phosphofructo-2-kinase	maker-scaffold_144-snap-gene-0.147
6-phosphofructo-2-kinase	maker-scaffold_107-augustus-gene-0.23
6-phosphogluconate dehydrogenase, C-terminal	augustus_masked-scaffold_271-processed-gene-0.17
6-phosphogluconate dehydrogenase, C-terminal	augustus_masked-scaffold_271-processed-gene-0.17
6-phosphogluconate dehydrogenase, NADP-binding	augustus_masked-scaffold_271-processed-gene-0.17
6-phosphogluconate dehydrogenase, NADP-binding	maker-scaffold_123-augustus-gene-0.463
6-phosphogluconate dehydrogenase, NADP-binding	maker-scaffold_123-augustus-gene-0.463
6-phosphogluconate dehydrogenase, NADP-binding	maker-scaffold_18-snap-gene-1.50
6-pyruvoyl tetrahydropterin synthase/QueD family protein	maker-scaffold_22-snap-gene-1.89
6-pyruvoyl tetrahydropterin synthase/QueD family protein	maker-scaffold_221-snap-gene-0.6
60S ribosomal protein L6E	maker-scaffold_14-augustus-gene-0.13
60S ribosomal protein L6E	snap_masked-scaffold_2-processed-gene-4.18
7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase, HPPK	maker-scaffold_408-snap-gene-0.10
7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase, HPPK	maker-scaffold_60-snap-gene-1.173
8-oxoguanine DNA glycosylase, N-terminal	maker-scaffold_8-snap-gene-2.48
A-kinase anchor protein 28kDa	augustus_masked-scaffold_72-processed-gene-0.328
A1 cistron-splicing factor, AAR2	maker-scaffold_249-snap-gene-0.46
AAA C-terminal domain	maker-scaffold_79-snap-gene-0.206
AAA+ ATPase domain	augustus_masked-scaffold_30-processed-gene-0.64
AAA+ ATPase domain	augustus_masked-scaffold_30-processed-gene-0.64
AAA+ ATPase domain	augustus_masked-scaffold_30-processed-gene-0.64
AAA+ ATPase domain	maker-scaffold_79-snap-gene-0.206
AAA+ ATPase domain	augustus_masked-scaffold_85-processed-gene-0.334
AAA+ ATPase domain	snap_masked-scaffold_76-processed-gene-1.21
AAA+ ATPase domain	snap_masked-scaffold_76-processed-gene-1.21
AAA+ ATPase domain	maker-scaffold_133-snap-gene-0.132
AAA+ ATPase domain	maker-scaffold_6-snap-gene-1.43
AAA+ ATPase domain	maker-scaffold_6-snap-gene-1.43
AAA+ ATPase domain	snap_masked-scaffold_180-processed-gene-0.181
AAA+ ATPase domain	snap_masked-scaffold_180-processed-gene-0.181
AAA+ ATPase domain	snap_masked-scaffold_180-processed-gene-0.181
AAA+ ATPase domain	maker-scaffold_539-augustus-gene-0.16
AAA+ ATPase domain	maker-scaffold_539-augustus-gene-0.16
AAA+ ATPase domain	maker-scaffold_26-snap-gene-1.50
AAA+ ATPase domain	snap_masked-scaffold_317-processed-gene-0.32
AAA+ ATPase domain	snap_masked-scaffold_317-processed-gene-0.32
AAA+ ATPase domain	maker-scaffold_196-snap-gene-0.10
AAA+ ATPase domain	maker-scaffold_196-snap-gene-0.10
AAA+ ATPase domain	augustus_masked-scaffold_3-processed-gene-3.170
AAA+ ATPase domain	augustus_masked-scaffold_3-processed-gene-3.170
AAA+ ATPase domain	maker-scaffold_399-augustus-gene-0.36
AAA+ ATPase domain	maker-scaffold_399-augustus-gene-0.36
AAA+ ATPase domain	snap_masked-scaffold_76-processed-gene-1.9
AAA+ ATPase domain	snap_masked-scaffold_76-processed-gene-1.9
AAA+ ATPase domain	maker-scaffold_17-snap-gene-1.84
AAA+ ATPase domain	augustus_masked-scaffold_259-processed-gene-0.30
AAA+ ATPase domain	maker-scaffold_19-snap-gene-1.129
AAA+ ATPase domain	augustus_masked-scaffold_47-processed-gene-1.144
AAA+ ATPase domain	augustus_masked-scaffold_47-processed-gene-1.144
AAA+ ATPase domain	augustus_masked-scaffold_47-processed-gene-1.144
AAA+ ATPase domain	augustus_masked-scaffold_265-processed-gene-0.36
AAA+ ATPase domain	maker-scaffold_301-snap-gene-0.7
AAA+ ATPase domain	augustus_masked-scaffold_53-processed-gene-0.13
AAA+ ATPase domain	augustus_masked-scaffold_53-processed-gene-0.13
AAA+ ATPase domain	maker-scaffold_73-snap-gene-1.123
AAA+ ATPase domain	maker-scaffold_43-snap-gene-0.272
AAA+ ATPase domain	maker-scaffold_43-snap-gene-0.272
AAA+ ATPase domain	snap_masked-scaffold_57-processed-gene-0.57
AAA+ ATPase domain	snap_masked-scaffold_57-processed-gene-0.57
AAA+ ATPase domain	maker-scaffold_43-augustus-gene-0.314
AAA+ ATPase domain	maker-scaffold_397-snap-gene-0.35
AAA+ ATPase domain	maker-scaffold_165-snap-gene-0.24
AAA+ ATPase domain	maker-scaffold_165-snap-gene-0.24
AAA+ ATPase domain	maker-scaffold_3-snap-gene-3.146
AAA+ ATPase domain	augustus_masked-scaffold_42-processed-gene-1.75
AAA+ ATPase domain	augustus_masked-scaffold_42-processed-gene-1.75
AAA+ ATPase domain	augustus_masked-scaffold_42-processed-gene-1.75
AAA+ ATPase domain	augustus_masked-scaffold_6-processed-gene-1.50
AAA+ ATPase domain	augustus_masked-scaffold_6-processed-gene-1.50
AAA+ ATPase domain	augustus_masked-scaffold_7-processed-gene-3.81
AAA+ ATPase domain	augustus_masked-scaffold_7-processed-gene-3.81
AAA+ ATPase domain	maker-scaffold_5-snap-gene-2.207
AAA+ ATPase domain	maker-scaffold_5-snap-gene-2.207
AAA+ ATPase domain	maker-scaffold_5-snap-gene-2.207
AAA+ ATPase domain	maker-scaffold_218-snap-gene-0.83
AAA+ ATPase domain	maker-scaffold_218-snap-gene-0.83
AAA+ ATPase domain	maker-scaffold_218-snap-gene-0.83
AAA+ ATPase domain	maker-scaffold_218-snap-gene-0.83
AAA+ ATPase domain	snap_masked-scaffold_18-processed-gene-2.200
AAA+ ATPase domain	snap_masked-scaffold_18-processed-gene-2.200
AAA+ ATPase domain	augustus_masked-scaffold_41-processed-gene-1.294
AAA+ ATPase domain	augustus_masked-scaffold_65-processed-gene-0.76
AAA+ ATPase domain	augustus_masked-scaffold_65-processed-gene-0.76
AAA+ ATPase domain	maker-scaffold_244-snap-gene-0.17
AAA+ ATPase domain	maker-scaffold_112-snap-gene-0.188
AAA+ ATPase domain	snap_masked-scaffold_182-processed-gene-0.114
AAA+ ATPase domain	maker-scaffold_30-snap-gene-2.148
AAA+ ATPase domain	maker-scaffold_169-snap-gene-0.134
AAA+ ATPase domain	augustus_masked-scaffold_27-processed-gene-0.46
AAA+ ATPase domain	maker-scaffold_285-snap-gene-0.2
AAA+ ATPase domain	maker-scaffold_285-snap-gene-0.2
AAA+ ATPase domain	snap_masked-scaffold_27-processed-gene-1.77
AAA+ ATPase domain	maker-scaffold_3-snap-gene-2.101
AAA+ ATPase domain	maker-scaffold_3-snap-gene-2.101
AAA+ ATPase domain	maker-scaffold_1-snap-gene-3.135
AAA+ ATPase domain	maker-scaffold_48-snap-gene-1.209
AAA+ ATPase domain	maker-scaffold_48-snap-gene-1.209
AAA+ ATPase domain	maker-scaffold_48-snap-gene-1.209
AAA+ ATPase domain	maker-scaffold_48-snap-gene-1.209
AAA+ ATPase domain	maker-scaffold_54-snap-gene-1.53
AAA+ ATPase domain	maker-scaffold_54-snap-gene-1.53
AAA+ ATPase domain	augustus_masked-scaffold_6-processed-gene-3.273
AAA+ ATPase domain	augustus_masked-scaffold_227-processed-gene-0.115
AAA+ ATPase domain	maker-scaffold_0-snap-gene-6.97
AAA+ ATPase domain	maker-scaffold_0-snap-gene-6.97
AAA+ ATPase domain	maker-scaffold_0-snap-gene-6.97
AAA+ ATPase domain	maker-scaffold_0-snap-gene-6.97
AAA+ ATPase domain	augustus_masked-scaffold_470-processed-gene-0.10
AAA+ ATPase domain	augustus_masked-scaffold_8-processed-gene-3.14
AAA+ ATPase domain	snap_masked-scaffold_58-processed-gene-1.91
AAA+ ATPase domain	snap_masked-scaffold_58-processed-gene-1.91
AAA+ ATPase domain	maker-scaffold_569-snap-gene-0.0
AAA+ ATPase domain	maker-scaffold_569-snap-gene-0.0
AAA+ ATPase domain	maker-scaffold_37-snap-gene-1.149
AAA+ ATPase domain	maker-scaffold_2-snap-gene-4.283
AAA+ ATPase domain	snap_masked-scaffold_104-processed-gene-0.102
AAA+ ATPase domain	maker-scaffold_1-snap-gene-4.192
AAA+ ATPase domain	maker-scaffold_1-snap-gene-4.192
AAA+ ATPase domain	augustus_masked-scaffold_670-processed-gene-0.3
AAA+ ATPase domain	snap_masked-scaffold_93-processed-gene-0.60
AAA+ ATPase domain	snap_masked-scaffold_93-processed-gene-0.60
AAA+ ATPase domain	snap_masked-scaffold_221-processed-gene-0.68
AAA+ ATPase domain	augustus_masked-scaffold_17-processed-gene-2.183
AAA+ ATPase domain	augustus_masked-scaffold_17-processed-gene-2.183
AAA+ ATPase domain	snap_masked-scaffold_161-processed-gene-0.40
AAA+ ATPase domain	maker-scaffold_7-snap-gene-3.120
AAA+ ATPase domain	maker-scaffold_383-snap-gene-0.22
AAA+ ATPase domain	maker-scaffold_383-snap-gene-0.22
AAA+ ATPase domain	maker-scaffold_46-snap-gene-1.135
AAA+ ATPase domain	augustus_masked-scaffold_19-processed-gene-2.263
AAA+ ATPase domain	augustus_masked-scaffold_19-processed-gene-2.263
AAA+ ATPase domain	snap_masked-scaffold_126-processed-gene-0.79
AAA+ ATPase domain	snap_masked-scaffold_126-processed-gene-0.79
AAA+ ATPase domain	maker-scaffold_191-snap-gene-0.52
AAA+ ATPase domain	augustus_masked-scaffold_271-processed-gene-0.27
AAA+ ATPase domain	augustus_masked-scaffold_271-processed-gene-0.27
AAA+ ATPase domain	maker-scaffold_84-snap-gene-0.195
AAA+ ATPase domain	maker-scaffold_84-snap-gene-0.195
AAA+ ATPase domain	maker-scaffold_84-snap-gene-0.195
AAA+ ATPase domain	snap_masked-scaffold_54-processed-gene-0.36
AAA+ ATPase domain	maker-scaffold_104-augustus-gene-0.155
AAA+ ATPase domain	maker-scaffold_188-snap-gene-0.65
AAA+ ATPase domain	maker-scaffold_188-snap-gene-0.65
AAA+ ATPase domain	maker-scaffold_218-augustus-gene-0.153
AAA+ ATPase domain	maker-scaffold_218-augustus-gene-0.153
AAA+ ATPase domain	maker-scaffold_227-augustus-gene-0.137
AAA+ ATPase domain	maker-scaffold_15-snap-gene-2.222
AAA+ ATPase domain	snap_masked-scaffold_270-processed-gene-0.100
AAA+ ATPase domain	snap_masked-scaffold_270-processed-gene-0.100
AAA+ ATPase domain	snap_masked-scaffold_145-processed-gene-0.291
AAA+ ATPase domain	maker-scaffold_119-augustus-gene-0.335
AAA+ ATPase domain	maker-scaffold_119-augustus-gene-0.335
AAA+ ATPase domain	augustus_masked-scaffold_140-processed-gene-0.237
AAA+ ATPase domain	augustus_masked-scaffold_29-processed-gene-2.175
AAA+ ATPase domain	augustus_masked-scaffold_29-processed-gene-2.175
AAA+ ATPase domain	maker-scaffold_97-snap-gene-0.313
AAA+ ATPase domain	maker-scaffold_223-snap-gene-0.12
AAA+ ATPase domain	maker-scaffold_223-snap-gene-0.12
AAA+ ATPase domain	maker-scaffold_223-snap-gene-0.12
AAA+ ATPase domain	maker-scaffold_223-snap-gene-0.12
AAA+ ATPase domain	maker-scaffold_47-snap-gene-0.80
AAA+ ATPase domain	maker-scaffold_47-snap-gene-0.80
AAA+ ATPase domain	maker-scaffold_37-snap-gene-1.121
AAA+ ATPase domain	augustus_masked-scaffold_46-processed-gene-1.1
AAA+ ATPase domain	augustus_masked-scaffold_46-processed-gene-1.1
AAA+ ATPase domain	maker-scaffold_120-snap-gene-0.87
AAA+ ATPase domain	maker-scaffold_120-snap-gene-0.87
AAA+ ATPase domain	maker-scaffold_54-snap-gene-1.44
AAA+ ATPase domain	augustus_masked-scaffold_0-processed-gene-3.188
AAA+ ATPase domain	augustus_masked-scaffold_0-processed-gene-3.188
AAA+ ATPase domain	maker-scaffold_1-snap-gene-3.131
AAA+ ATPase domain	maker-scaffold_1-snap-gene-3.131
AAA+ ATPase domain	maker-scaffold_18-snap-gene-1.90
AAA+ ATPase domain	maker-scaffold_219-snap-gene-0.151
AAA+ ATPase domain	augustus_masked-scaffold_230-processed-gene-0.30
AAA+ ATPase domain	augustus_masked-scaffold_230-processed-gene-0.30
AAA+ ATPase domain	maker-scaffold_405-augustus-gene-0.6
AAA+ ATPase domain	maker-scaffold_58-snap-gene-1.121
AAA+ ATPase domain	maker-scaffold_58-snap-gene-1.121
AAA+ ATPase domain	maker-scaffold_58-snap-gene-1.121
AAA+ ATPase domain	maker-scaffold_58-snap-gene-1.121
AAA+ ATPase domain	maker-scaffold_48-snap-gene-1.119
AAA+ ATPase domain	maker-scaffold_48-snap-gene-1.119
AAA+ ATPase domain	maker-scaffold_136-snap-gene-0.92
AAA+ ATPase domain	maker-scaffold_136-snap-gene-0.92
AAA+ ATPase domain	augustus_masked-scaffold_16-processed-gene-1.97
AAA+ ATPase domain	augustus_masked-scaffold_16-processed-gene-1.97
AAA+ ATPase domain	maker-scaffold_120-snap-gene-0.68
AAA+ ATPase domain	maker-scaffold_120-snap-gene-0.68
AAA+ ATPase domain	maker-scaffold_47-snap-gene-1.80
AAA+ ATPase domain	maker-scaffold_47-snap-gene-1.80
AAA+ ATPase domain	maker-scaffold_47-snap-gene-1.80
AAA+ ATPase domain	snap_masked-scaffold_34-processed-gene-0.55
AAA+ ATPase domain	snap_masked-scaffold_39-processed-gene-1.118
AAA+ ATPase domain	snap_masked-scaffold_39-processed-gene-1.118
AAA+ ATPase domain	maker-scaffold_12-augustus-gene-1.135
AAA+ ATPase domain	augustus_masked-scaffold_75-processed-gene-0.96
AAA+ ATPase domain	augustus_masked-scaffold_75-processed-gene-0.96
AAA+ ATPase domain	augustus_masked-scaffold_111-processed-gene-0.108
AAA+ ATPase domain	augustus_masked-scaffold_196-processed-gene-0.37
AAA+ ATPase domain	maker-scaffold_31-augustus-gene-0.136
AAA+ ATPase domain	snap_masked-scaffold_25-processed-gene-1.37
AAA+ ATPase domain	snap_masked-scaffold_25-processed-gene-1.37
AAA+ ATPase domain	augustus_masked-scaffold_357-processed-gene-0.19
AAA+ ATPase domain	maker-scaffold_1-snap-gene-3.83
AAA+ ATPase domain	maker-scaffold_1-snap-gene-2.19
AAA+ ATPase domain	maker-scaffold_1-snap-gene-2.19
AAA+ ATPase domain	maker-scaffold_82-snap-gene-0.215
AAA+ ATPase domain	maker-scaffold_82-snap-gene-0.215
AAA+ ATPase domain	augustus_masked-scaffold_85-processed-gene-0.314
AAA+ ATPase domain	augustus_masked-scaffold_85-processed-gene-0.314
AAA+ ATPase domain	maker-scaffold_32-snap-gene-0.78
AAA+ ATPase domain	maker-scaffold_32-snap-gene-0.78
AAA+ ATPase domain	snap_masked-scaffold_7-processed-gene-0.23
AAA+ ATPase domain	snap_masked-scaffold_7-processed-gene-0.23
AAA+ ATPase domain	snap_masked-scaffold_7-processed-gene-0.23
AAA+ ATPase domain	augustus_masked-scaffold_212-processed-gene-0.24
AAA+ ATPase domain	augustus_masked-scaffold_212-processed-gene-0.24
AAA+ ATPase domain	augustus_masked-scaffold_95-processed-gene-0.455
AAA+ ATPase domain	augustus_masked-scaffold_95-processed-gene-0.455
AAA+ ATPase domain	maker-scaffold_62-snap-gene-1.220
AAA+ ATPase domain	maker-scaffold_412-augustus-gene-0.1
AAA+ ATPase domain	maker-scaffold_0-snap-gene-3.283
AAA+ ATPase domain	augustus_masked-scaffold_68-processed-gene-0.18
AAA+ ATPase domain	augustus_masked-scaffold_52-processed-gene-1.220
AAA+ ATPase domain	augustus_masked-scaffold_47-processed-gene-0.37
AAA+ ATPase domain	augustus_masked-scaffold_47-processed-gene-0.37
AAA+ ATPase domain	maker-scaffold_563-snap-gene-0.4
AAA+ ATPase domain	augustus_masked-scaffold_36-processed-gene-0.135
AAA+ ATPase domain	augustus_masked-scaffold_36-processed-gene-0.135
AAA+ ATPase domain	snap_masked-scaffold_111-processed-gene-0.132
AAA+ ATPase domain	augustus_masked-scaffold_115-processed-gene-0.68
AAA+ ATPase domain	augustus_masked-scaffold_67-processed-gene-1.74
AAA+ ATPase domain	augustus_masked-scaffold_67-processed-gene-1.74
AAA+ ATPase domain	augustus_masked-scaffold_113-processed-gene-0.61
AAA+ ATPase domain	augustus_masked-scaffold_113-processed-gene-0.61
AAA+ ATPase domain	augustus_masked-scaffold_2-processed-gene-0.80
AAA+ ATPase domain	maker-scaffold_1-snap-gene-3.101
AAA+ ATPase domain	augustus_masked-scaffold_12-processed-gene-3.140
AAA+ ATPase domain	augustus_masked-scaffold_290-processed-gene-0.64
AAA+ ATPase domain	snap_masked-scaffold_81-processed-gene-0.186
AAA+ ATPase domain	snap_masked-scaffold_81-processed-gene-0.186
AAA+ ATPase domain	snap_masked-scaffold_375-processed-gene-0.5
AAA+ ATPase domain	snap_masked-scaffold_375-processed-gene-0.5
AAA+ ATPase domain	maker-scaffold_42-snap-gene-0.57
AAA+ ATPase domain	maker-scaffold_42-snap-gene-0.57
